tractFIPS_left,SUM of Qty,tree planting sentence,many tree %ile,few tree %ile,priority category,pcanopy,canopy sentence,high canopy %ile,low canopy %ile,requests,requests sentence,high req %ile,low req %ile,prio_rank
17031010100,39,less than 69.106699751861% of other census tracts,30.89330025,69.10669975,medium                                                                          ,21.75977023,more than 58.2089552238806% of other census tracts,58.20895522,41.79104478,39,less than 67.6616915422886% of other census tracts,32.33830846,67.66169154,179
17031010201,40,less than 68.1141439205955% of other census tracts,31.88585608,68.11414392,medium                                                                          ,32.62065706,more than 94.7761194029851% of other census tracts,94.7761194,5.223880597,76,more than 54.6019900497512% of other census tracts,54.60199005,45.39800995,205
17031010202,47,less than 63.3995037220844% of other census tracts,36.60049628,63.39950372,medium                                                                          ,23.35982367,more than 66.4179104477612% of other census tracts,66.41791045,33.58208955,59,less than 54.6019900497512% of other census tracts,45.39800995,54.60199005,239
17031010300,96,more than 68.7344913151365% of other census tracts,68.73449132,31.26550868,low                                                                             ,30.6835669,more than 92.4129353233831% of other census tracts,92.41293532,7.587064677,134,more than 76.7412935323383% of other census tracts,76.74129353,23.25870647,30
17031010400,43,less than 65.6327543424318% of other census tracts,34.36724566,65.63275434,low                                                                             ,23.01244923,more than 64.9253731343284% of other census tracts,64.92537313,35.07462687,39,less than 67.6616915422886% of other census tracts,32.33830846,67.66169154,110
17031010501,38,less than 70.3473945409429% of other census tracts,29.65260546,70.34739454,low                                                                             ,23.51818989,more than 67.4129353233831% of other census tracts,67.41293532,32.58706468,32,less than 73.7562189054726% of other census tracts,26.24378109,73.75621891,38
17031010502,28,less than 79.6526054590571% of other census tracts,20.34739454,79.65260546,low                                                                             ,25.47185281,more than 76.9900497512438% of other census tracts,76.99004975,23.00995025,32,less than 73.7562189054726% of other census tracts,26.24378109,73.75621891,83
17031010503,23,less than 84.3672456575682% of other census tracts,15.63275434,84.36724566,medium                                                                          ,23.68504188,more than 68.0348258706468% of other census tracts,68.03482587,31.96517413,30,less than 75.2487562189055% of other census tracts,24.75124378,75.24875622,167
17031010600,88,more than 64.7642679900745% of other census tracts,64.76426799,35.23573201,low                                                                             ,33.98900866,more than 95.8955223880597% of other census tracts,95.89552239,4.104477612,116,more than 72.7611940298507% of other census tracts,72.76119403,27.23880597,26
17031010701,27,less than 80.6451612903226% of other census tracts,19.35483871,80.64516129,low                                                                             ,43.2342425,more than 99.1293532338308% of other census tracts,99.12935323,0.8706467662,44,less than 64.5522388059702% of other census tracts,35.44776119,64.55223881,29
17031010702,49,less than 61.9106699751861% of other census tracts,38.08933002,61.91066998,medium                                                                          ,20.13334109,more than 50.2487562189055% of other census tracts,50.24875622,49.75124378,49,less than 60.5721393034826% of other census tracts,39.4278607,60.5721393,219
17031020100,48,less than 62.7791563275434% of other census tracts,37.22084367,62.77915633,medium                                                                          ,26.17478582,more than 80.4726368159204% of other census tracts,80.47263682,19.52736318,65,less than 50.1243781094527% of other census tracts,49.87562189,50.12437811,212
