CA,trees
WEST LAWN,323
EAST SIDE,499
CHICAGO LAWN,732
BRIDGEPORT,1076
LINCOLN PARK,654
AVONDALE,704
JEFFERSON PARK,582
ARMOUR SQUARE,206
EDGEWATER,722
PORTAGE PARK,1697
FOREST GLEN,672
CLEARING,305
IRVING PARK,1235
LOGAN SQUARE,1492
UPTOWN,616
NORTH CENTER,905
HYDE PARK,276
AUBURN GRESHAM,2150
WEST TOWN,1643
HERMOSA,456
LAKE VIEW,1058
MCKINLEY PARK,1106
WEST ELSDON,543
OHARE,40
HEGEWISCH,131
GARFIELD RIDGE,578
WEST ENGLEWOOD,1772
NORWOOD PARK,1185
ALBANY PARK,791
EDISON PARK,596
LINCOLN SQUARE,892
BEVERLY,1094
SOUTH LAWNDALE,2031
DUNNING,1375
ARCHER HEIGHTS,380
MOUNT GREENWOOD,334
ROGERS PARK,608
GAGE PARK,353
WEST RIDGE,1135
MONTCLARE,200
LOWER WEST SIDE,834
WEST GARFIELD PARK,593
BRIGHTON PARK,1118
CALUMET HEIGHTS,410
EAST GARFIELD PARK,1210
HUMBOLDT PARK,2086
NORTH LAWNDALE,2710
BELMONT CRAGIN,1081
ASHBURN,759
ROSELAND,1351
SOUTH SHORE,940
MORGAN PARK,1036
NORTH PARK,648
SOUTH CHICAGO,1268
KENWOOD,215
CHATHAM,981
NEAR NORTH SIDE,456
ENGLEWOOD,1360
AUSTIN,1924
WOODLAWN,850
WASHINGTON HEIGHTS,1650
AVALON PARK,362
LOOP,190
RIVERDALE,62
SOUTH DEERING,432
PULLMAN,441
GREATER GRAND CROSSING,1563
NEAR SOUTH SIDE,318
NEW CITY,1638
NEAR WEST SIDE,1551
WEST PULLMAN,917
DOUGLAS,564
FULLER PARK,272
WASHINGTON PARK,926
GRAND BOULEVARD,1463
BURNSIDE,93
OAKLAND,302
