tractFIPS,reqs
17031381700,6
17031980000,1
17031240500,62
17031720500,130
17031062800,94
17031050700,51
17031720400,91
17031090300,69
17031062300,27
17031061500,34
17031221600,162
17031831000,83
17031060300,103
17031070300,108
17031750400,155
17031070600,96
17031242200,89
17031062600,83
17031831900,69
17031063100,63
17031832200,127
17031050100,87
17031242100,161
17031081800,38
17031061100,12
17031062000,50
17031051300,169
17031240300,61
17031063400,49
17031750300,208
17031280100,11
17031810400,1
17031832600,132
17031051200,86
17031050600,46
17031090200,404
17031071600,87
17031050800,74
17031090100,354
17031061200,43
17031241500,110
17031720600,192
17031050500,184
17031222200,80
17031720300,391
17031080202,20
17031830800,37
17031071200,101
17031080100,22
17031080300,48
17031243300,67
17031062200,70
17031081403,12
17031071800,79
17031081700,11
17031740300,110
17031805402,4
17031050900,91
17031720100,263
17031832300,106
17031070400,62
17031071000,52
17031081202,26
17031062700,123
17031832000,28
17031060400,82
17031062900,86
17031062500,66
17031051100,129
17031080201,12
17031243000,67
17031071100,54
17031243500,47
17031170500,179
17031051000,133
17031830900,105
17031051400,109
17031071700,39
17031040401,161
17031243200,62
17031070103,6
17031063000,60
17031720700,157
17031161100,174
17031070700,89
17031241300,36
17031120200,251
17031062100,59
17031071500,114
17031120100,515
17031081600,3
17031063302,20
17031062400,54
17031170700,135
17031061000,34
17031070102,17
17031241600,74
17031040402,151
17031832400,147
17031242300,142
17031833000,62
17031081900,2
17031561000,144
17031040700,173
17031807900,1
17031040800,85
17031842300,67
17031740400,82
17031081500,6
17031071400,30
17031100400,219
17031241200,55
17031060200,46
17031220601,48
17031070200,209
17031220300,79
17031500100,87
17031063301,37
17031060100,90
17031050300,158
17031241400,145
17031220400,96
17031220500,89
17031281900,7
17031242900,85
17031240200,47
17031740200,131
17031120300,269
17031242400,103
17031060900,23
17031240600,65
17031063200,44
17031320600,25
17031071300,63
17031081402,8
17031110100,318
17031040600,69
17031243100,85
17031836200,72
17031060800,33
17031070500,83
17031050200,132
17031838300,8
17031750200,174
17031030200,114
17031560900,158
17031832900,12
17031081100,19
17031081201,9
17031210900,143
17031843700,161
17031640500,85
17031100700,299
17031130200,63
17031081300,8
17031061902,18
17031040900,65
17031833100,107
17031030900,170
17031160900,99
17031031800,36
17031282800,21
17031040201,166
17031040100,136
17031720200,224
17031063303,3
17031031900,67
17031110300,128
17031310400,9
17031110501,272
17031640800,56
17031171100,100
17031120400,298
17031030800,461
17031061800,25
17031031400,18
17031222500,98
17031100100,251
17031100500,110
17031081401,8
17031242000,77
17031242600,192
17031320400,16
17031170400,90
17031070101,24
17031242800,77
17031221500,106
17031030500,251
17031160200,269
17031150501,115
17031832100,19
17031839000,39
17031031700,170
17031411100,69
17031031000,204
17031170200,119
17031480400,223
17031810800,1
17031381200,54
17031838200,49
17031020701,105
17031561100,192
17031170600,131
17031241100,145
17031832500,67
17031842200,8
17031283200,14
17031221200,88
17031160700,181
17031550200,56
17031100300,318
17031030103,8
17031820800,7
17031242700,130
17031031100,235
17031061901,53
17031410900,42
17031221000,186
17031100200,405
17031110502,259
17031330200,52
17031150600,202
17031243400,79
17031291600,51
17031210100,156
17031740100,89
17031841900,40
17031100600,202
17031240900,37
17031839100,22
17031460500,287
17031250500,292
17031431200,36
17031171000,342
17031410500,20
17031839900,165
17031351000,11
17031160602,87
17031150300,490
17031390700,21
17031161000,102
17031833300,18
17031230300,40
17031640400,118
17031150402,200
17031240700,37
17031030400,146
17031010600,116
17031222600,25
17031700501,288
17031480100,56
17031842600,55
17031750100,40
17031440600,39
17031081000,26
17031730400,78
17031150800,279
17031840000,136
17031841000,26
17031770901,1
17031570200,238
17031520500,318
17031150401,139
17031410600,29
17031760802,34
17031221400,82
17031210700,131
17031610800,43
17031620200,27
17031151200,142
17031390200,39
17031170300,161
17031140800,189
17031530502,9
17031241000,115
17031760801,13
17031242500,107
17031221300,80
17031620100,113
17031440102,51
17031760803,15
17031210800,28
17031730600,54
17031390100,6
17031410200,5
17031140400,249
17031580300,61
17031151001,241
17031110400,141
17031480300,25
17031410800,48
17031230100,51
17031590600,349
17031080400,30
17031570500,26
17031730202,164
17031390500,13
17031160601,84
17031380200,13
17031480200,13
17031590700,358
17031220602,187
17031450300,126
17031730500,57
17031282700,25
17031810701,1
17031411200,95
17031560800,155
17031520600,229
17031710100,41
17031140500,178
17031020302,148
17031440700,5
17031210501,86
17031010501,32
17031640300,249
17031170800,488
17031650302,432
17031839700,392
17031220902,114
17031600900,220
17031500300,105
17031410100,14
17031530400,14
17031640600,48
17031190300,116
17031700302,88
17031490700,16
17031210602,278
17031030603,22
17031836300,14
17031837800,28
17031843200,107
17031140701,32
17031460400,32
17031160502,94
17031210601,113
17031030604,21
17031310800,122
17031020200,218
17031160300,91
17031020602,92
17031430800,24
17031843800,11
17031834200,126
17031700100,29
17031161200,150
17031836000,37
17031251700,12
17031351500,2
17031831800,109
17031661100,85
17031310200,21
17031640100,12
17031691300,44
17031210502,69
17031839800,164
17031230900,284
17031440300,207
17031650200,103
17031842000,35
17031190100,20
17031700402,39
17031730700,91
17031150502,83
17031611800,12
17031490600,85
17031191000,61
17031831100,423
17031220701,68
17031700502,20
17031220702,202
17031440202,72
17031570100,50
17031836400,38
17031010400,39
17031150700,459
17031150200,281
17031835800,17
17031690500,36
17031580800,9
17031310500,28
17031390600,27
17031151100,417
17031410700,52
17031700301,40
17031670900,18
17031490902,145
17031160800,146
17031230400,86
17031381900,17
17031030702,2
17031841200,84
17031530300,64
17031310600,164
17031711100,323
17031170900,49
17031200100,369
17031711400,216
17031010502,32
17031600700,306
17031040300,99
17031283800,15
17031411000,20
17031840100,140
17031020801,111
17031670100,26
17031580400,202
17031836500,19
17031030706,32
17031130300,76
17031190402,65
17031220901,124
17031530503,52
17031490800,149
17031420300,37
17031240800,47
17031280900,38
17031190401,59
17031560200,43
17031200300,24
17031711500,51
17031222800,37
17031430101,37
17031700401,57
17031020400,79
17031671100,118
17031140302,46
17031250400,55
17031700200,65
17031160501,86
17031650500,54
17031710300,103
17031520400,209
17031600600,475
17031301803,236
17031200200,35
17031160100,373
17031300500,111
17031030300,72
17031420200,21
17031110200,113
17031490500,93
17031190601,35
17031292400,237
17031221100,162
17031180100,88
17031430102,20
17031560100,44
17031830700,103
17031250800,37
17031711200,443
17031600400,231
17031010701,44
17031730100,25
17031710400,606
17031310300,70
17031841300,68
17031590500,187
17031831700,81
17031160400,255
17031808100,1
17031030703,37
17031292200,301
17031191302,34
17031560300,45
17031190701,26
17031430600,25
17031420400,16
17031520200,261
17031440201,101
17031580200,171
17031491200,32
17031811100,2
17031843600,41
17031680600,48
17031310900,104
17031671900,216
17031691400,31
17031191100,67
17031222700,38
17031840700,91
17031440900,16
17031380100,49
17031520300,342
17031271500,85
17031292500,87
17031530200,146
17031640700,30
17031032100,90
17031140100,46
17031140601,101
17031340400,52
17031060500,20
17031842800,214
17031840300,474
17031840400,423
17031681000,52
17031030701,13
17031580700,50
17031510300,46
17031030104,10
17031570400,14
17031222900,58
17031834500,46
17031280400,82
17031491100,48
17031381800,25
17031834300,100
17031570300,164
17031671400,10
17031520100,148
17031839200,14
17031838000,45
17031301801,87
17031480500,82
17031250600,43
17031271200,2
17031301702,134
17031020100,65
17031730201,450
17031690900,27
17031840200,420
17031835200,17
17031170100,6
17031620400,601
17031031300,53
17031839500,60
17031540102,11
17031836600,95
17031010300,134
17031843500,61
17031250700,26
17031161300,93
17031430700,18
17031831500,45
17031200401,77
17031190200,55
17031300700,255
17031671300,311
17031230200,48
17031301100,59
17031670200,11
17031250200,34
17031500200,30
17031711000,281
17031711300,143
17031151002,334
17031710900,37
17031030102,26
17031020301,94
17031271300,4
17031010100,39
17031650301,112
17031010503,30
17031251200,37
17031842500,93
17031830500,312
17031140200,70
17031843900,93
17031190602,123
17031020901,80
17031200402,93
17031191200,22
17031251000,2
17031140301,30
17031630800,80
17031430900,23
17031400500,11
17031560700,53
17031671500,415
17031260500,21
17031510200,40
17031490901,73
17031530501,61
17031750600,25
17031580100,202
