name,311 tree request wait times (days)
ALBANY PARK,187.4184397
ARCHER HEIGHTS,243.7554945
ARMOUR SQUARE,153.0034014
ASHBURN,319.2698413
AUBURN GRESHAM,210.5835432
AUSTIN,195.1153846
AVALON PARK,234.6390977
AVONDALE,170.3304598
BELMONT CRAGIN,221.4811594
BEVERLY,182.210452
BRIDGEPORT,150.639714
BRIGHTON PARK,348.2871046
BURNSIDE,150.6153846
CALUMET HEIGHTS,249.260223
CHATHAM,181.8824786
CHICAGO LAWN,244.3731343
CLEARING,257.9959514
DOUGLAS,149.0238095
DUNNING,224.2306548
EAST GARFIELD PARK,210.3153745
EAST SIDE,226.6703911
EDGEWATER,170.4249364
EDISON PARK,187.8527607
ENGLEWOOD,330.5145889
FOREST GLEN,161.6719457
FULLER PARK,208.6419753
GAGE PARK,183.7857143
GARFIELD RIDGE,235.9660057
GRAND BOULEVARD,179.7738516
GREATER GRAND CROSSING,269.1860465
HEGEWISCH,196.5217391
HERMOSA,233.152027
HUMBOLDT PARK,169.8467583
HYDE PARK,141.6938776
IRVING PARK,185.3518822
JEFFERSON PARK,196.5549451
KENWOOD,174.7671233
LAKE VIEW,169.7770449
LINCOLN PARK,145.7794118
LINCOLN SQUARE,169.1554252
LOGAN SQUARE,168.4375656
LOOP,88.29032258
LOWER WEST SIDE,145.3960613
MCKINLEY PARK,256.637605
MONTCLARE,189.5970149
MORGAN PARK,186.5704225
MOUNT GREENWOOD,153.7651515
NEAR NORTH SIDE,141.5503356
NEAR SOUTH SIDE,109.6666667
NEAR WEST SIDE,169.7336815
NEW CITY,291.8297872
NORTH CENTER,183.4715596
NORTH LAWNDALE,183.8869236
NORTH PARK,241.1566265
NORWOOD PARK,173.7626886
OAKLAND,160.2444444
OHARE,146.6086957
PORTAGE PARK,231.6291774
PULLMAN,181.907563
RIVERDALE,149.6153846
ROGERS PARK,172.0585106
ROSELAND,301.5123457
SOUTH CHICAGO,178.8255814
SOUTH DEERING,238.0804598
SOUTH LAWNDALE,187.2153425
SOUTH SHORE,206.8540146
UPTOWN,155.3920455
WASHINGTON HEIGHTS,299.5010571
WASHINGTON PARK,244.8979592
WEST ELSDON,441.8660436
WEST ENGLEWOOD,204.1392708
WEST GARFIELD PARK,218.8985201
WEST LAWN,196.0301724
WEST PULLMAN,327.7090909
WEST RIDGE,170.4455446
WEST TOWN,150.5684411
WOODLAWN,265.9314079
